Sun, 1.9885E+30, 0.0, 0.0, 696340, 1.0, 0.9, 0.0
Mercury,3.825E+23,5.79e+10,47400,4879, 0.9, 0.3, 0.1 
Venus,4.867E+24,1.08E+11,35000,12104, 0.3, 0.6, 0.6
Earth, 5.972E+24, 1.50E+11, 29800, 12756, 0.0, 0.6, 0.6
Mars,6.39E+23,2.28E+11,24100,6792, 0.9, 0.2, 0.2
